Features,Num_Features,AIC,BIC,R_squared
"('id', 'stationCode', 'latitude')",3,299330.6288411413,299364.9681017665,0.5033878979188826
"('id', 'stationCode', 'longitude')",3,303339.7796359005,303374.1188965257,0.4503785860546531
"('id', 'stationCode', 'wellDepth')",3,302964.1316347949,302998.47089542006,0.455576822472503
"('id', 'latitude', 'longitude')",3,323626.78237513383,323661.121635759,0.08178191031844739
"('id', 'latitude', 'wellDepth')",3,323709.105569631,323743.44483025617,0.07986768285324719
"('id', 'longitude', 'wellDepth')",3,326676.98801267875,326711.32727330393,0.008125363444566935
"('subdistric', 'district', 'stationCode')",3,303124.35202669346,303158.69128731865,0.4533657244025435
"('subdistric', 'district', 'latitude')",3,325480.1989508487,325514.5382114739,0.03770480257932829
"('subdistric', 'district', 'longitude')",3,326962.17788836575,326996.51714899094,0.0009435911883860504
"('subdistric', 'district', 'wellDepth')",3,326782.70727448334,326817.04653510853,0.005469137820960257
"('subdistric', 'stationCode', 'latitude')",3,298896.0717643336,298930.41102495877,0.5088173046585034
"('subdistric', 'stationCode', 'longitude')",3,304731.35611776303,304765.6953783882,0.43068564501423434
"('subdistric', 'stationCode', 'wellDepth')",3,304821.46392598376,304855.80318660894,0.42938642463911725
"('subdistric', 'latitude', 'longitude')",3,325575.5237638884,325609.8630245136,0.03538147091082522
"('subdistric', 'latitude', 'wellDepth')",3,325462.58791242936,325496.92717305454,0.038133419913356725
"('subdistric', 'longitude', 'wellDepth')",3,326791.7549831784,326826.0942438036,0.00524148147453618
"('district', 'stationCode', 'latitude')",3,299257.4078707475,299291.7471313727,0.5043069154741106
"('district', 'stationCode', 'longitude')",3,303296.8770529068,303331.216313532,0.4509747759602972
"('district', 'stationCode', 'wellDepth')",3,302955.7943655157,302990.1336261409,0.45569163461533624
"('district', 'latitude', 'longitude')",3,325506.2285796195,325540.5678402447,0.03707094385418208
"('district', 'latitude', 'wellDepth')",3,325498.3353677332,325532.6746283584,0.03726319895894403
"('district', 'longitude', 'wellDepth')",3,326793.8243657031,326828.1636263283,0.005189404829525124
"('stationCode', 'latitude', 'longitude')",3,298987.1069175302,299021.44617815537,0.507684837689494
"('stationCode', 'latitude', 'wellDepth')",3,298734.0672480872,298768.4065087124,0.5108261834866967
"('stationCode', 'longitude', 'wellDepth')",3,304458.80945306097,304493.14871368615,0.43459738420802985
"('latitude', 'longitude', 'wellDepth')",3,325692.24434617563,325726.5836068008,0.032529024057639244
